+-----+------------+-----------+------+--------+--------+--------+------------+------------+------------+-------------+-----------+---------------+-------------+---------------+-------+-----------+---------+------+---------+-------+-----------+---------+------+-----+-----+-----+----+----+----+-----+----+-----+------+-----------------------+-----------------------------+
| id  | first_name | last_name | bats | throws | weight | height |   debut    | final_game | birth_year | birth_month | birth_day |  birth_city   | birth_state | birth_country |  id   | player_id | team_id | year | salary  |  id   | player_id | team_id | year |  G  | AB  |  H  | 2B | 3B | HR | RBI | SB | id  | year |         name          |            park             |
| 18  | Kurt       | Abbott    | R    | R      | 180    | 71     | 1993-09-07 | 2001-04-13 | 1969       | 6           | 2         | Zanesville    | OH          | USA           | 12802 | 18        | 90      | 2000 | 500000  | 79268 | 18        | 90      | 2000 | 79  | 157 | 34  | 7  | 1  | 6  | 12  | 1  | 90  | 2001 | New York Mets         | Shea Stadium                |
| 18  | Kurt       | Abbott    | R    | R      | 180    | 71     | 1993-09-07 | 2001-04-13 | 1969       | 6           | 2         | Zanesville    | OH          | USA           | 6234  | 18        | 95      | 1993 | 109000  | 70695 | 18        | 95      | 1993 | 20  | 61  | 15  | 1  | 0  | 3  | 9   | 2  | 95  | 2001 | Oakland Athletics     | Oakland Coliseum            |
| 18  | Kurt       | Abbott    | R    | R      | 180    | 71     | 1993-09-07 | 2001-04-13 | 1969       | 6           | 2         | Zanesville    | OH          | USA           | 10927 | 18        | 95      | 1998 | 1000000 | 76648 | 18        | 95      | 1998 | 35  | 123 | 33  | 7  | 1  | 2  | 9   | 2  | 95  | 2001 | Oakland Athletics     | Oakland Coliseum            |
| 19  | Kyle       | Abbott    | L    | L      | 200    | 76     | 1991-09-10 | 1996-08-24 | 1968       | 2           | 18        | Newburyport   | MA          | USA           | 5375  | 19        | 103     | 1992 | 109000  | 69629 | 19        | 103     | 1992 | 31  | 29  | 2   | 1  | 0  | 0  | 2   | 0  | 103 | 2001 | Philadelphia Phillies | Veterans Stadium            |
| 19  | Kyle       | Abbott    | L    | L      | 200    | 76     | 1991-09-10 | 1996-08-24 | 1968       | 2           | 18        | Newburyport   | MA          | USA           | 8122  | 19        | 103     | 1995 | 150000  | 72907 | 19        | 103     | 1995 | 18  | 2   | 1   | 0  | 0  | 0  | 0   | 0  | 103 | 2001 | Philadelphia Phillies | Veterans Stadium            |
| 21  | Paul       | Abbott    | R    | R      | 185    | 75     | 1990-08-21 | 2004-08-07 | 1967       | 9           | 15        | Van Nuys      | CA          | USA           | 3689  | 21        | 84      | 1990 | 100000  | 67429 | 21        | 84      | 1990 | 7   | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 84  | 2001 | Minnesota Twins       | Hubert H Humphrey Metrodome |
| 21  | Paul       | Abbott    | R    | R      | 185    | 75     | 1990-08-21 | 2004-08-07 | 1967       | 9           | 15        | Van Nuys      | CA          | USA           | 5202  | 21        | 84      | 1992 | 126000  | 69630 | 21        | 84      | 1992 | 6   | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 84  | 2001 | Minnesota Twins       | Hubert H Humphrey Metrodome |
| 21  | Paul       | Abbott    | R    | R      | 185    | 75     | 1990-08-21 | 2004-08-07 | 1967       | 9           | 15        | Van Nuys      | CA          | USA           | 12063 | 21        | 115     | 1999 | 235000  | 77971 | 21        | 115     | 1999 | 25  | 0   | 0   | 0  | 0  | 0  | 0   | 0  | 115 | 2001 | Seattle Mariners      | Safeco Field                |
| 21  | Paul       | Abbott    | R    | R      | 185    | 75     | 1990-08-21 | 2004-08-07 | 1967       | 9           | 15        | Van Nuys      | CA          | USA           | 12939 | 21        | 115     | 2000 | 285000  | 79269 | 21        | 115     | 2000 | 35  | 5   | 2   | 1  | 0  | 0  | 0   | 0  | 115 | 2001 | Seattle Mariners      | Safeco Field                |
| 21  | Paul       | Abbott    | R    | R      | 185    | 75     | 1990-08-21 | 2004-08-07 | 1967       | 9           | 15        | Van Nuys      | CA          | USA           | 13789 | 21        | 115     | 2001 | 1700000 | 80654 | 21        | 115     | 2001 | 28  | 4   | 1   | 0  | 0  | 0  | 0   | 0  | 115 | 2001 | Seattle Mariners      | Safeco Field                |
| 32  | Shawn      | Abner     | R    | R      | 190    | 73     | 1987-09-08 | 1992-10-03 | 1966       | 6           | 17        | Hamilton      | OH          | USA           | 4685  | 32        | 113     | 1991 | 180000  | 68546 | 32        | 30      | 1991 | 41  | 101 | 23  | 6  | 1  | 2  | 9   | 1  | 30  | 1996 | California Angels     | Anaheim Stadium             |
| 32  | Shawn      | Abner     | R    | R      | 190    | 73     | 1987-09-08 | 1992-10-03 | 1966       | 6           | 17        | Hamilton      | OH          | USA           | 4967  | 32        | 34      | 1992 | 297500  | 69631 | 32        | 34      | 1992 | 97  | 208 | 58  | 10 | 1  | 1  | 16  | 1  | 34  | 2001 | Chicago White Sox     | Comiskey Park II            |
| 32  | Shawn      | Abner     | R    | R      | 190    | 73     | 1987-09-08 | 1992-10-03 | 1966       | 6           | 17        | Hamilton      | OH          | USA           | 2426  | 32        | 113     | 1988 | 63500   | 65320 | 32        | 113     | 1988 | 37  | 83  | 15  | 3  | 0  | 2  | 5   | 0  | 113 | 2001 | San Diego Padres      | Qualcomm Stadium            |
| 32  | Shawn      | Abner     | R    | R      | 190    | 73     | 1987-09-08 | 1992-10-03 | 1966       | 6           | 17        | Hamilton      | OH          | USA           | 3125  | 32        | 113     | 1989 | 77500   | 66356 | 32        | 113     | 1989 | 57  | 102 | 18  | 4  | 0  | 2  | 14  | 1  | 113 | 2001 | San Diego Padres      | Qualcomm Stadium            |
| 32  | Shawn      | Abner     | R    | R      | 190    | 73     | 1987-09-08 | 1992-10-03 | 1966       | 6           | 17        | Hamilton      | OH          | USA           | 3958  | 32        | 113     | 1990 | 105000  | 67430 | 32        | 113     | 1990 | 91  | 184 | 45  | 9  | 0  | 1  | 15  | 2  | 113 | 2001 | San Diego Padres      | Qualcomm Stadium            |
| 32  | Shawn      | Abner     | R    | R      | 190    | 73     | 1987-09-08 | 1992-10-03 | 1966       | 6           | 17        | Hamilton      | OH          | USA           | 4685  | 32        | 113     | 1991 | 180000  | 68545 | 32        | 113     | 1991 | 53  | 115 | 19  | 4  | 1  | 1  | 5   | 0  | 113 | 2001 | San Diego Padres      | Qualcomm Stadium            |
| 38  | Bobby      | Abreu     | L    | R      | 220    | 72     | 1996-09-01 | 2014-09-28 | 1974       | 3           | 11        | Maracay       | Aragua      | Venezuela     | 9689  | 38        | 59      | 1997 | 150000  | 75412 | 38        | 59      | 1997 | 59  | 188 | 47  | 10 | 2  | 3  | 26  | 7  | 59  | 2001 | Houston Astros        | Enron Field                 |
| 38  | Bobby      | Abreu     | L    | R      | 220    | 72     | 1996-09-01 | 2014-09-28 | 1974       | 3           | 11        | Maracay       | Aragua      | Venezuela     | 10962 | 38        | 103     | 1998 | 180000  | 76651 | 38        | 103     | 1998 | 151 | 497 | 155 | 29 | 6  | 17 | 74  | 19 | 103 | 2001 | Philadelphia Phillies | Veterans Stadium            |
| 38  | Bobby      | Abreu     | L    | R      | 220    | 72     | 1996-09-01 | 2014-09-28 | 1974       | 3           | 11        | Maracay       | Aragua      | Venezuela     | 11958 | 38        | 103     | 1999 | 400000  | 77972 | 38        | 103     | 1999 | 152 | 546 | 183 | 35 | 11 | 20 | 93  | 27 | 103 | 2001 | Philadelphia Phillies | Veterans Stadium            |
| 38  | Bobby      | Abreu     | L    | R      | 220    | 72     | 1996-09-01 | 2014-09-28 | 1974       | 3           | 11        | Maracay       | Aragua      | Venezuela     | 12854 | 38        | 103     | 2000 | 2933333 | 79270 | 38        | 103     | 2000 | 154 | 576 | 182 | 42 | 10 | 25 | 79  | 28 | 103 | 2001 | Philadelphia Phillies | Veterans Stadium            |
| 38  | Bobby      | Abreu     | L    | R      | 220    | 72     | 1996-09-01 | 2014-09-28 | 1974       | 3           | 11        | Maracay       | Aragua      | Venezuela     | 13704 | 38        | 103     | 2001 | 4983000 | 80656 | 38        | 103     | 2001 | 162 | 588 | 170 | 48 | 4  | 31 | 110 | 36 | 103 | 2001 | Philadelphia Phillies | Veterans Stadium            |
| 50  | Juan       | Acevedo   | R    | R      | 245    | 74     | 1995-04-30 | 2003-08-05 | 1970       | 5           | 5         | Ciudad Juarez | Chihuahua   | Mexico        | 7690  | 50        | 49      | 1995 | 109000  | 72908 | 50        | 49      | 1995 | 17  | 18  | 1   | 0  | 0  | 0  | 0   | 0  | 49  | 2001 | Colorado Rockies      | Coors Field                 |
| 50  | Juan       | Acevedo   | R    | R      | 245    | 74     | 1995-04-30 | 2003-08-05 | 1970       | 5           | 5         | Ciudad Juarez | Chihuahua   | Mexico        | 12687 | 50        | 82      | 2000 | 612500  | 79271 | 50        | 82      | 2000 | 62  | 1   | 0   | 0  | 0  | 0  | 0   | 0  | 82  | 2001 | Milwaukee Brewers     | Miller Park                 |
